property_id	property_name	source	snapshot	as_of_date	year	month	status	level	metric	value
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jan	Prospect	My Hotel	RN	636
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jan	Prospect	My Hotel	ADR	688.68
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jan	Prospect	My Hotel	REV	438000
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jan	Prospect	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Feb	Prospect	My Hotel	RN	2263
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Feb	Prospect	My Hotel	ADR	652.21
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Feb	Prospect	My Hotel	REV	697600
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Feb	Prospect	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Mar	Prospect	My Hotel	RN	1677
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Mar	Prospect	My Hotel	ADR	583.93
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Mar	Prospect	My Hotel	REV	979250
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Mar	Prospect	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Apr	Prospect	My Hotel	RN	1957
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Apr	Prospect	My Hotel	ADR	3100.35
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Apr	Prospect	My Hotel	REV	6067385
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Apr	Prospect	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	May	Prospect	My Hotel	RN	5105
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	May	Prospect	My Hotel	ADR	545.02
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	May	Prospect	My Hotel	REV	2782328
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	May	Prospect	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jun	Prospect	My Hotel	RN	911
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jun	Prospect	My Hotel	ADR	687.09
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jun	Prospect	My Hotel	REV	625941
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jun	Prospect	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jul	Prospect	My Hotel	RN	361
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jul	Prospect	My Hotel	ADR	752.02
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jul	Prospect	My Hotel	REV	271480
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jul	Prospect	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Aug	Prospect	My Hotel	RN	363
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Aug	Prospect	My Hotel	ADR	895.95
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Aug	Prospect	My Hotel	REV	325230
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Aug	Prospect	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Sep	Prospect	My Hotel	RN	821
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Sep	Prospect	My Hotel	ADR	658.19
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Sep	Prospect	My Hotel	REV	540375
